date,temp,humidity,windspeed
2024-02-27,18.8,50.0,14.8
2024-02-28,18.0,62.5,18.4
2024-02-29,19.1,58.9,14.4
2024-03-01,21.7,55.5,20.5
2024-03-02,21.1,70.8,28.0
2024-03-03,19.3,60.7,16.6
2024-03-04,17.9,46.1,11.2
2024-03-05,16.7,49.2,18.4
2024-03-06,16.4,50.8,13.7
2024-03-07,18.9,50.2,16.6
2024-03-08,20.0,49.8,16.6
2024-03-09,19.1,52.6,18.4
2024-03-10,19.9,51.6,13.0
2024-03-11,23.3,46.1,13.0
2024-03-12,23.0,49.7,13.0
2024-03-13,22.4,54.4,18.4
2024-03-14,23.1,52.5,14.8
2024-03-15,21.4,45.3,20.5
2024-03-16,21.8,44.7,13.0
2024-03-17,22.0,48.3,13.0
2024-03-18,21.9,50.0,13.0
2024-03-19,23.1,48.5,12.5
2024-03-20,24.4,48.5,13.0
2024-03-21,23.1,61.6,18.4
2024-03-22,25.4,57.9,16.6
2024-03-23,26.7,50.0,18.4
2024-03-24,24.7,53.1,18.4
2024-03-25,25.0,57.8,18.4
2024-03-26,26.5,49.9,16.6
2024-03-27,29.0,43.8,14.8
2024-03-28,29.7,40.9,14.8
2024-03-29,28.8,51.4,16.6
2024-03-30,29.5,46.1,14.8
2024-03-31,28.8,44.4,22.3
2024-04-01,25.3,49.0,16.6
2024-04-02,26.2,35.7,18.4
2024-04-03,28.3,33.0,11.2
2024-04-04,29.9,29.9,14.8
2024-04-05,29.9,29.9,16.6
2024-04-06,28.7,28.2,16.6
2024-04-07,28.1,27.2,18.4
2024-04-08,29.1,27.5,15.3
2024-04-09,29.7,24.4,14.8
2024-04-10,29.7,26.9,11.2
2024-04-11,30.1,29.5,16.6
2024-04-12,31.0,29.3,9.4
2024-04-13,29.4,38.4,20.6
2024-04-14,26.4,57.1,16.6
2024-04-15,28.7,52.9,9.4
2024-04-16,29.9,38.8,20.5
2024-04-17,29.1,28.5,20.5
2024-04-18,30.9,26.7,20.5
2024-04-19,32.5,31.0,14.8
2024-04-20,30.9,35.0,18.4
2024-04-21,31.1,32.3,20.5
2024-04-22,31.1,30.5,18.4
2024-04-23,29.2,39.3,25.6
2024-04-24,29.7,40.2,18.4
2024-04-25,31.5,29.8,18.4
2024-04-26,31.9,32.6,16.6
2024-04-27,31.6,37.0,18.4
2024-04-28,31.3,30.8,11.2
2024-04-29,31.0,35.5,16.9
2024-04-30,29.8,29.7,18.4
2024-05-01,28.2,20.5,18.4
2024-05-02,28.8,24.5,20.5
2024-05-03,30.5,23.6,18.4
2024-05-04,32.9,22.4,14.8
2024-05-05,34.0,23.2,14.8
2024-05-06,34.3,26.6,20.5
2024-05-07,34.3,32.0,16.6
2024-05-08,32.3,49.7,20.5
2024-05-09,31.6,47.8,20.5
2024-05-10,32.6,48.4,27.7
2024-05-11,31.9,40.4,27.7
2024-05-12,33.1,40.5,13.0
2024-05-13,34.2,33.4,16.6
2024-05-14,34.0,28.4,20.5
2024-05-15,34.4,23.0,16.6
2024-05-16,35.2,27.8,13.0
2024-05-17,37.2,24.4,16.6
2024-05-18,37.3,24.5,18.4
2024-05-19,38.2,22.1,18.4
2024-05-20,38.0,22.1,18.4
2024-05-21,35.8,39.2,18.4
2024-05-22,35.9,43.6,18.4
2024-05-23,35.2,44.4,22.3
2024-05-24,35.4,43.0,22.3
2024-05-25,37.4,34.8,18.4
2024-05-26,38.1,25.4,16.6
2024-05-27,38.7,23.7,16.6
2024-05-28,38.7,22.2,16.6
2024-05-29,37.9,25.8,16.6
2024-05-30,39.1,22.2,18.4
2024-05-31,38.7,23.8,18.4
2024-06-01,36.6,26.5,18.4
2024-06-02,36.7,28.4,16.6
2024-06-03,37.2,28.3,14.8
2024-06-04,37.1,31.6,18.4
2024-06-05,37.8,27.8,27.7
2024-06-06,33.8,38.4,28.7
2024-06-07,35.7,29.3,18.4
2024-06-08,35.8,29.0,18.4
2024-06-09,36.1,24.4,18.4
2024-06-10,37.4,22.3,18.4
2024-06-11,37.4,22.5,16.6
2024-06-12,37.8,22.9,16.6
2024-06-13,38.9,22.6,18.4
2024-06-14,37.8,28.3,21.6
2024-06-15,38.3,27.3,27.7
2024-06-16,39.2,27.0,24.1
2024-06-17,39.6,28.0,20.2
2024-06-18,39.6,30.5,23.6
2024-06-19,38.9,32.7,26.1
2024-06-20,33.7,45.3,20.2
2024-06-21,31.9,59.9,16.2
2024-06-22,33.2,55.3,16.6
2024-06-23,33.4,58.6,18.4
2024-06-24,33.1,65.2,18.4
2024-06-25,33.7,63.0,11.2
2024-06-26,32.9,66.5,18.4
2024-06-27,30.5,80.2,22.3
2024-06-28,28.9,86.4,18.4
2024-06-29,30.4,83.7,13.1
2024-06-30,32.6,75.9,14.8
2024-07-01,32.1,72.7,11.2
2024-07-02,32.7,71.8,14.8
2024-07-03,29.5,87.0,14.8
2024-07-04,28.6,90.0,11.3
2024-07-05,29.6,87.2,18.4
2024-07-06,29.6,85.7,14.8
2024-07-07,29.7,76.7,18.4
2024-07-08,28.2,83.5,18.4
2024-07-09,29.6,86.5,18.4
2024-07-10,30.9,84.4,14.8
2024-07-11,33.4,72.8,12.0
2024-07-12,31.4,64.4,16.6
2024-07-13,30.3,77.4,15.5
2024-07-14,32.3,72.9,13.0
2024-07-15,31.3,79.1,14.8
2024-07-16,33.2,73.3,18.4
2024-07-17,32.6,77.1,14.0
2024-07-18,31.0,83.5,18.4
2024-07-19,31.4,82.9,14.8
2024-07-20,32.3,75.1,11.2
2024-07-21,32.6,76.9,20.5
2024-07-22,30.9,84.6,16.6
2024-07-23,31.3,84.8,11.2
2024-07-24,30.0,87.6,14.8
2024-07-25,31.2,83.5,9.6
2024-07-26,30.9,85.2,11.2
2024-07-27,31.2,85.7,16.6
2024-07-28,32.9,74.6,14.8
2024-07-29,33.5,70.6,16.6
2024-07-30,34.3,68.9,13.0
2024-07-31,31.8,78.8,18.4
2024-08-01,28.8,85.3,11.2
2024-08-02,29.6,86.3,13.0
2024-08-03,30.2,81.7,16.6
2024-08-04,30.5,77.5,18.7
2024-08-05,30.0,79.8,20.5
2024-08-06,29.9,80.3,13.0
2024-08-07,28.1,92.5,11.2
2024-08-08,28.5,89.8,18.4
2024-08-09,29.0,89.0,13.0
2024-08-10,28.9,89.5,13.0
2024-08-11,27.3,94.1,14.8
2024-08-12,27.5,95.2,13.0
2024-08-13,28.8,90.7,14.8
2024-08-14,30.5,84.0,14.8
2024-08-15,29.9,90.0,18.4
2024-08-16,30.0,85.9,16.6
2024-08-17,30.1,83.8,11.2
2024-08-18,30.7,81.1,16.6
2024-08-19,30.8,79.6,14.8
2024-08-20,28.6,86.5,18.4
2024-08-21,30.4,77.4,13.0
2024-08-22,31.0,76.4,13.1
2024-08-23,28.4,86.8,11.2
2024-08-24,30.3,82.1,11.2
2024-08-25,30.3,79.3,16.0
2024-08-26,29.9,82.4,37.1
2024-08-27,28.4,86.2,18.4
2024-08-28,28.0,88.3,16.6
2024-08-29,27.1,94.8,16.6
2024-08-30,29.4,82.6,18.4
2024-08-31,30.8,80.4,14.8
2024-09-01,31.7,77.1,11.2
2024-09-02,29.3,86.5,13.0
2024-09-03,30.8,79.6,18.4
2024-09-04,27.0,90.4,14.8
2024-09-05,28.2,85.6,7.6
2024-09-06,28.1,87.4,15.2
2024-09-07,27.4,88.8,20.5
2024-09-08,27.1,95.1,13.0
2024-09-09,28.8,90.3,16.6
2024-09-10,28.1,88.2,18.4
2024-09-11,28.3,87.1,14.0
2024-09-12,26.1,95.5,18.4
2024-09-13,24.0,98.3,20.5
2024-09-14,26.5,88.3,16.6
2024-09-15,28.1,81.5,16.6
2024-09-16,28.9,78.4,20.5
2024-09-17,29.0,78.3,13.0
2024-09-18,25.8,90.1,18.4
2024-09-19,26.7,88.7,20.5
2024-09-20,29.1,76.3,11.2
2024-09-21,30.0,75.9,9.4
2024-09-22,30.9,74.7,7.6
2024-09-23,30.9,79.2,11.2
2024-09-24,31.6,75.9,9.4
2024-09-25,30.8,78.1,18.4
2024-09-26,29.6,79.3,14.8
2024-09-27,29.2,76.4,18.4
2024-09-28,27.8,78.3,14.8
2024-09-29,28.7,77.9,14.8
2024-09-30,29.4,77.9,14.8
2024-10-01,29.6,78.1,16.6
2024-10-02,30.7,67.5,14.8
2024-10-03,30.3,62.0,16.6
2024-10-04,30.4,66.0,16.6
2024-10-05,30.2,67.7,18.4
2024-10-06,30.0,60.9,16.6
2024-10-07,29.3,66.5,11.2
2024-10-08,28.8,64.2,11.2
2024-10-09,28.2,64.5,14.8
2024-10-10,27.8,59.9,14.8
2024-10-11,26.9,61.1,14.8
2024-10-12,27.2,58.9,14.8
2024-10-13,27.6,52.5,14.8
2024-10-14,27.1,51.8,16.6
2024-10-15,26.6,53.1,13.0
2024-10-16,27.2,53.9,7.6
2024-10-17,28.0,54.2,7.6
2024-10-18,28.0,53.0,7.7
2024-10-19,28.4,53.2,13.0
2024-10-20,28.0,63.1,13.0
2024-10-21,27.3,68.9,14.8
2024-10-22,26.9,67.2,9.4
2024-10-23,26.7,66.8,18.4
2024-10-24,26.5,60.0,16.6
2024-10-25,25.7,61.3,20.5
2024-10-26,25.9,57.2,16.6
2024-10-27,26.7,67.9,7.6
2024-10-28,27.2,64.3,11.2
2024-10-29,27.7,66.5,11.2
2024-10-30,28.2,60.3,9.4
2024-10-31,27.0,63.2,16.6
2024-11-01,25.1,53.8,16.6
2024-11-02,25.1,55.2,7.6
2024-11-03,24.4,57.1,9.4
2024-11-04,23.9,62.9,7.6
2024-11-05,24.4,63.0,11.2
2024-11-06,24.3,65.1,7.6
2024-11-07,24.7,67.2,7.6
2024-11-08,24.5,70.6,7.8
2024-11-09,25.1,69.2,11.2
2024-11-10,24.6,72.6,7.6
2024-11-11,24.6,71.1,5.4
2024-11-12,24.7,63.9,14.8
2024-11-13,21.2,84.0,9.4
2024-11-14,22.2,73.0,7.6
2024-11-15,22.8,64.8,14.8
2024-11-16,22.1,66.0,9.4
2024-11-17,20.3,75.3,16.6
2024-11-18,18.2,85.7,13.3
2024-11-19,18.2,70.9,9.4
2024-11-20,18.5,64.2,9.4
2024-11-21,18.2,59.5,9.4
2024-11-22,18.6,65.3,7.6
2024-11-23,19.8,63.0,7.6
2024-11-24,20.4,58.6,14.8
2024-11-25,19.2,68.8,14.8
2024-11-26,18.7,64.9,13.0
2024-11-27,18.5,60.0,11.2
2024-11-28,18.0,62.1,9.4
2024-11-29,17.7,63.1,7.6
2024-11-30,17.8,65.6,11.2
2024-12-01,18.6,64.0,14.8
2024-12-02,18.6,67.2,9.4
2024-12-03,18.8,66.0,14.8
2024-12-04,18.7,57.7,18.4
2024-12-05,16.8,49.9,20.8
2024-12-06,16.5,51.9,14.8
2024-12-07,15.8,53.2,7.6
2024-12-08,16.2,56.6,16.6
2024-12-09,14.8,68.7,11.2
2024-12-10,14.0,60.8,20.5
2024-12-11,13.3,46.9,14.8
2024-12-12,13.4,55.2,11.2
2024-12-13,13.9,54.5,20.5
2024-12-14,13.8,49.9,18.4
2024-12-15,13.3,55.5,9.4
2024-12-16,12.9,67.8,7.6
2024-12-17,13.8,70.1,11.2
2024-12-18,12.8,78.4,9.4
2024-12-19,13.5,72.8,13.0
2024-12-20,15.2,74.2,7.6
2024-12-21,14.6,73.3,11.2
2024-12-22,15.2,70.2,9.4
2024-12-23,14.6,77.3,11.2
2024-12-24,14.9,80.2,11.2
2024-12-25,14.6,82.0,11.2
2024-12-26,15.4,76.1,7.6
2024-12-27,14.6,93.9,18.4
2024-12-28,14.9,95.9,9.4
2024-12-29,13.3,93.6,18.4
2024-12-30,11.3,93.2,14.8
2024-12-31,11.6,86.4,7.6
2025-01-01,10.4,91.2,11.7
2025-01-02,10.4,91.2,11.2
2025-01-03,12.0,91.1,6.9
2025-01-04,12.6,92.9,11.2
2025-01-05,12.0,89.0,13.0
2025-01-06,12.5,90.8,12.4
2025-01-07,12.4,92.9,17.1
2025-01-08,12.8,79.2,21.0
2025-01-09,13.3,76.2,10.6
2025-01-10,11.8,90.1,9.9
2025-01-11,12.2,92.9,17.2
2025-01-12,12.6,91.1,11.2
2025-01-13,12.6,90.4,14.1
2025-01-14,12.9,87.0,12.4
2025-01-15,11.9,93.3,10.0
2025-01-16,13.5,88.9,9.4
2025-01-17,11.8,91.1,17.2
2025-01-18,13.7,85.0,10.0
2025-01-19,16.8,78.5,8.8
2025-01-20,16.6,78.6,16.0
2025-01-21,16.0,74.4,16.0
2025-01-22,16.0,75.9,11.7
2025-01-23,17.2,70.3,17.4
2025-01-24,15.6,66.8,19.1
2025-01-25,14.7,60.2,19.8
2025-01-26,14.4,60.0,16.6
2025-01-27,14.2,66.5,17.1
2025-01-28,14.7,64.6,11.7
2025-01-29,15.9,71.0,14.8
2025-01-30,17.2,75.8,13.0
2025-01-31,17.5,81.3,8.1
2025-02-01,16.6,86.6,9.4
2025-02-02,15.4,85.6,13.5
2025-02-03,15.5,72.0,9.9
2025-02-04,18.4,65.4,11.7
2025-02-05,16.1,70.0,18.4
2025-02-06,16.3,58.7,18.4
2025-02-07,14.9,55.2,19.2
2025-02-08,16.2,52.8,16.6
2025-02-09,17.0,59.3,8.1
2025-02-10,18.3,62.7,8.8
2025-02-11,19.4,59.7,10.6
2025-02-12,18.4,60.0,24.2
2025-02-13,17.7,52.5,19.6
2025-02-14,17.3,51.0,23.0
2025-02-15,18.7,51.4,9.4
2025-02-16,19.7,58.7,13.0
2025-02-17,19.9,60.0,8.1
2025-02-18,20.3,57.0,11.8
2025-02-19,19.8,56.1,11.1
2025-02-20,20.4,68.4,22.0
2025-02-21,19.5,65.6,16.6
2025-02-22,17.4,75.1,17.8
2025-02-23,18.3,66.1,12.4
2025-02-24,19.0,68.6,13.6
2025-02-25,19.9,62.6,8.1
2025-02-26,23.5,56.1,10.6
2025-02-27,21.8,63.5,17.8
2025-02-28,21.4,67.8,14.5
2025-03-01,21.6,76.4,17.2
2025-03-02,20.2,61.1,17.3
2025-03-03,21.0,49.6,11.8
2025-03-04,21.0,56.1,21.6
2025-03-05,17.4,51.7,27.7
2025-03-06,18.7,41.5,21.0
2025-03-07,19.9,48.0,17.1
2025-03-08,21.6,50.2,16.6
2025-03-09,23.8,50.2,10.5
2025-03-10,24.5,49.0,18.4
2025-03-11,25.6,52.3,12.4
2025-03-12,24.4,63.4,18.4
2025-03-13,25.3,56.6,10.0
2025-03-14,25.5,55.3,12.4
2025-03-15,24.9,50.0,18.4
2025-03-16,23.8,55.1,19.1
2025-03-17,22.8,58.9,17.8
2025-03-18,22.6,56.2,17.2
2025-03-19,24.0,48.6,18.4
2025-03-20,25.2,46.9,20.5
2025-03-21,24.0,49.2,17.5
2025-03-22,24.4,48.8,14.8
2025-03-23,25.3,43.9,9.4
2025-03-24,26.2,41.9,11.2
2025-03-25,27.7,37.2,13.0
2025-03-26,29.3,35.7,12.4
2025-03-27,29.0,35.8,18.6
2025-03-28,25.3,33.7,19.8
2025-03-29,22.3,28.3,20.7
2025-03-30,24.0,29.9,18.4
2025-03-31,25.5,30.7,15.3
2025-04-01,26.1,28.4,24.8
2025-04-02,26.6,31.8,18.7
2025-04-03,28.5,29.7,10.6
2025-04-04,29.7,25.6,16.6
2025-04-05,28.3,31.4,16.0
2025-04-06,29.1,33.5,16.6
2025-04-07,31.3,32.2,9.4
2025-04-08,32.4,32.1,14.8
2025-04-09,33.4,38.0,14.2
2025-04-10,32.2,34.9,18.4
2025-04-11,27.1,58.0,30.4
2025-04-12,27.0,52.4,17.8
2025-04-13,29.4,39.2,11.7
2025-04-14,29.8,42.5,14.2
2025-04-15,30.7,40.2,14.8
2025-04-16,31.8,38.7,13.6
2025-04-17,33.1,35.6,18.4
2025-04-18,32.2,45.0,17.2
2025-04-19,31.6,47.0,19.2
2025-04-20,32.5,46.3,16.6
2025-04-21,33.0,29.4,15.3
2025-04-22,31.3,16.7,18.4
2025-04-23,31.0,18.4,21.3
2025-04-24,32.2,18.0,16.6
2025-04-25,32.8,21.1,13.6
2025-04-26,32.4,22.7,16.0
2025-04-27,33.2,20.0,14.8
2025-04-28,33.0,28.3,15.4
2025-04-29,30.6,42.2,20.5
2025-04-30,31.3,45.0,22.3
2025-05-01,32.1,47.0,17.8
2025-05-02,25.4,70.3,23.3
2025-05-03,28.2,63.2,16.0
2025-05-04,30.3,53.4,15.3
2025-05-05,27.6,56.7,18.4
2025-05-06,28.9,54.8,17.1
2025-05-07,29.2,57.2,17.1
2025-05-08,30.6,53.5,17.8
2025-05-09,30.9,53.3,16.0
2025-05-10,29.9,60.5,19.0
2025-05-11,31.2,52.8,31.8
2025-05-12,32.5,37.8,17.2
2025-05-13,31.6,40.7,16.0
2025-05-14,32.7,38.9,15.4
2025-05-15,34.1,30.9,15.2
2025-05-16,33.9,36.5,16.6
2025-05-17,33.7,37.2,15.3
2025-05-18,35.1,38.1,16.6
2025-05-19,34.1,54.1,17.8
2025-05-20,34.8,51.6,17.1
2025-05-21,33.6,55.7,27.3
2025-05-22,29.4,59.3,21.1
2025-05-23,31.7,58.1,19.8
2025-05-24,33.6,52.1,18.4
2025-05-25,27.0,77.8,30.6
2025-05-26,29.8,73.5,17.1
2025-05-27,32.0,63.1,14.7
2025-05-28,33.5,61.2,9.4
2025-05-29,32.8,57.0,25.9
2025-05-30,31.1,53.4,20.5
2025-05-31,32.1,48.5,14.2
2025-06-01,30.0,54.8,21.2
2025-06-02,30.1,52.2,20.5
2025-06-03,29.2,52.2,16.0
2025-06-04,29.1,54.5,18.4
2025-06-05,30.5,48.0,14.7
2025-06-06,32.5,48.7,11.8
2025-06-07,34.3,44.3,9.9
2025-06-08,36.4,39.4,16.6
2025-06-09,37.1,33.7,17.2
2025-06-10,37.0,25.6,18.1
2025-06-11,37.3,33.7,19.8
2025-06-12,36.9,49.1,14.2
2025-06-13,35.3,53.8,18.4
2025-06-14,35.7,54.7,13.0
2025-06-15,32.1,61.7,34.0
2025-06-16,31.5,65.0,14.8
2025-06-17,29.3,81.0,15.9
2025-06-18,29.6,80.4,9.9
2025-06-19,31.1,72.9,14.8
2025-06-20,30.4,75.8,18.4
2025-06-21,31.8,72.3,14.2
2025-06-22,31.9,71.5,14.2
2025-06-23,31.7,72.4,15.9
2025-06-24,31.2,77.2,16.0
2025-06-25,31.3,80.4,18.4
2025-06-26,32.9,67.8,17.2
2025-06-27,33.4,62.9,17.8
2025-06-28,30.6,74.9,17.2
2025-06-29,28.3,85.8,13.5
2025-06-30,27.5,90.3,11.7
2025-07-01,29.6,80.3,14.2
2025-07-02,31.4,74.5,14.8
2025-07-03,31.9,73.4,17.1
2025-07-04,30.7,79.4,15.3
2025-07-05,31.6,76.1,8.7
2025-07-06,31.0,80.2,11.8
2025-07-07,28.8,80.9,20.8
2025-07-08,31.8,73.0,16.2
2025-07-09,29.0,81.4,16.5
2025-07-10,26.8,91.0,14.8
2025-07-11,28.9,84.3,8.8
2025-07-12,29.5,82.7,14.2
2025-07-13,29.0,83.9,21.8
2025-07-14,28.2,87.3,18.4
2025-07-15,28.8,82.3,18.4
2025-07-16,29.1,85.0,15.3
2025-07-17,29.3,80.6,16.0
2025-07-18,28.6,83.6,19.3
2025-07-19,29.7,74.0,22.9
2025-07-20,30.8,70.6,9.4
2025-07-21,29.5,80.5,10.5
2025-07-22,28.8,85.8,12.3
2025-07-23,28.7,86.5,11.2
2025-07-24,31.1,74.6,16.0
2025-07-25,32.4,70.8,21.7
2025-07-26,31.4,72.3,14.7
2025-07-27,31.9,72.2,14.8
2025-07-28,31.1,77.5,15.4
2025-07-29,28.4,90.2,13.0
2025-07-30,28.5,90.2,18.4
2025-07-31,27.2,95.7,14.1
2025-08-01,28.5,85.4,18.4
2025-08-02,29.2,82.6,18.7
2025-08-03,29.4,83.1,17.8
2025-08-04,29.9,77.5,17.1
2025-08-05,29.4,77.7,15.9
2025-08-06,30.2,74.1,12.8
2025-08-07,31.0,70.0,22.3
2025-08-08,31.4,65.0,21.1
2025-08-09,26.5,94.2,15.9
2025-08-10,29.5,79.9,20.5
2025-08-11,30.5,73.1,21.1
2025-08-12,29.3,80.8,13.6
2025-08-13,31.0,72.7,14.8
2025-08-14,27.2,92.0,14.9
2025-08-15,28.1,88.5,9.9
2025-08-16,29.6,83.7,13.5
2025-08-17,29.3,83.2,13.6
2025-08-18,30.0,79.2,18.4
2025-08-19,29.9,79.9,15.3
2025-08-20,30.7,74.8,21.7
2025-08-21,30.6,76.6,16.6
2025-08-22,29.7,82.0,11.1
2025-08-23,28.7,85.3,14.2
2025-08-24,28.2,86.1,18.4
2025-08-25,27.4,89.0,21.4
2025-08-26,27.3,92.2,20.4
2025-08-27,27.5,91.5,11.1
2025-08-28,30.0,82.6,12.1
2025-08-29,28.3,91.1,17.5
2025-08-30,29.4,81.6,18.4
2025-08-31,27.8,85.4,18.4
2025-09-01,25.8,92.3,20.5
2025-09-02,26.2,93.2,22.3
2025-09-03,26.5,90.5,14.7
2025-09-04,28.1,84.9,13.9
2025-09-05,28.5,82.9,17.5
2025-09-06,29.7,77.9,18.4
2025-09-07,28.9,81.7,16.6
2025-09-08,30.0,73.7,11.2
2025-09-09,30.3,76.8,15.7
2025-09-10,29.9,75.9,21.4
2025-09-11,29.5,70.7,20.3
2025-09-12,29.5,69.7,18.4
2025-09-13,30.5,67.0,13.0
2025-09-14,30.8,67.7,16.6
2025-09-15,31.0,64.0,16.6
2025-09-16,30.9,68.1,11.2
2025-09-17,29.9,75.2,12.1
2025-09-18,29.1,79.1,13.1
2025-09-19,30.8,71.2,16.6
2025-09-20,30.7,68.9,19.4
2025-09-21,30.2,66.2,16.5
2025-09-22,30.5,64.5,15.3
2025-09-23,30.3,58.0,17.0
2025-09-24,29.8,61.7,21.4
2025-09-25,29.9,62.9,16.6
2025-09-26,30.3,65.1,17.5
2025-09-27,31.9,63.1,9.4
2025-09-28,31.7,67.4,18.6
2025-09-29,31.3,67.3,13.0
2025-09-30,27.8,82.8,13.7
2025-10-01,28.4,79.7,9.4
2025-10-02,28.5,80.8,18.4
2025-10-03,28.4,78.2,8.4
2025-10-04,29.2,72.9,16.6
2025-10-05,28.9,74.1,15.7
2025-10-06,23.5,88.6,16.6
2025-10-07,23.2,88.1,18.4
2025-10-08,22.7,86.3,9.4
2025-10-09,24.1,77.4,13.9
2025-10-10,23.7,72.5,11.6
2025-10-11,24.1,73.5,11.2
2025-10-12,25.3,70.4,13.9
2025-10-13,25.2,68.2,8.4
2025-10-14,25.4,61.9,10.3
2025-10-15,24.9,62.4,8.5
2025-10-16,24.7,63.8,9.4
2025-10-17,25.1,67.6,9.4
2025-10-18,25.9,68.2,6.4
2025-10-19,26.2,68.8,6.5
2025-10-20,26.5,67.7,7.6
2025-10-21,26.7,66.2,7.6
2025-10-22,25.5,72.0,11.2
2025-10-23,24.2,65.0,12.1
2025-10-24,23.5,63.8,8.4
2025-10-25,23.9,62.3,7.3
2025-10-26,24.2,59.9,6.4
2025-10-27,23.4,67.4,10.3
2025-10-28,22.9,70.1,7.6
2025-10-29,23.3,72.7,9.4
2025-10-30,23.7,80.9,8.4
2025-10-31,24.6,80.7,8.4
2025-11-01,23.9,75.5,9.4
2025-11-02,23.2,63.3,20.3
2025-11-03,22.9,53.6,14.8
2025-11-04,23.7,58.6,12.1
2025-11-05,23.9,67.8,12.0
2025-11-06,20.2,55.0,16.6
2025-11-07,19.4,61.5,13.0
2025-11-08,18.7,55.4,11.2
2025-11-09,18.8,55.4,13.2
2025-11-10,18.4,60.1,7.9
2025-11-11,18.5,60.3,11.2
2025-11-12,18.7,58.5,13.0
2025-11-13,17.9,68.0,14.8
2025-11-14,17.7,59.4,12.8
2025-11-15,18.0,59.9,11.9
2025-11-16,17.9,59.0,17.5
2025-11-17,17.5,59.9,8.4
2025-11-18,17.3,67.4,10.2
2025-11-19,18.5,68.5,7.6
2025-11-20,19.0,70.0,7.6
2025-11-21,18.9,71.2,6.4
2025-11-22,18.1,70.8,8.4
2025-11-23,17.7,68.5,8.4
2025-11-24,17.2,68.2,7.5
2025-11-25,16.4,67.1,11.2
2025-11-26,16.2,63.9,7.6
2025-11-27,16.7,65.4,6.4
2025-11-28,16.6,69.1,9.5
2025-11-29,17.5,61.9,13.0
2025-11-30,15.9,59.4,16.5
2025-12-01,15.7,59.2,7.6
2025-12-02,17.1,61.8,8.5
2025-12-03,15.0,63.7,14.8
2025-12-04,13.9,64.3,14.8
2025-12-05,13.8,64.9,8.5
2025-12-06,14.9,62.8,18.4
2025-12-07,15.3,63.5,13.0
2025-12-08,16.4,60.0,16.6
2025-12-09,16.2,58.1,15.7
2025-12-10,16.2,59.6,13.8
2025-12-11,16.1,66.8,13.0
2025-12-12,16.1,67.4,6.4
2025-12-13,16.7,71.3,9.4
2025-12-14,16.4,80.8,6.4
2025-12-15,14.8,83.1,10.3
2025-12-16,15.5,72.0,18.6
2025-12-17,15.6,73.2,14.8
2025-12-18,13.6,89.5,9.3
2025-12-19,13.2,87.8,10.2
2025-12-20,12.0,89.6,13.9
2025-12-21,13.3,89.6,9.4
2025-12-22,14.3,84.4,9.4
2025-12-23,14.4,84.5,13.8
2025-12-24,14.5,74.1,18.5
2025-12-25,14.1,67.4,11.2
2025-12-26,14.4,73.4,12.0
2025-12-27,13.9,78.0,10.3
2025-12-28,13.8,79.4,8.5
2025-12-29,12.9,88.9,8.5
2025-12-30,12.7,85.0,9.8
2025-12-31,11.0,93.1,15.7
